,MW873,MW875,MW876
HQ875 -35A,3.409138228,8.217375721,4.833795278
HQ875 -28A,3.409138228,8.378576634,5.081984283
HQ875 -21A,3.409138228,8.54175302,5.33773591
HQ875 -14A,3.409138228,8.706916749,5.601114815
HQ875 -7A,3.409138228,8.874043713,5.872127081
HQ875 Baseline,3.409138228,9.043217495,6.150954148
HQ875 +7A,3.409138228,9.21441451,6.437604412
HQ875 +14A,3.409138228,9.38760949,6.732079899
HQ875 +21A,3.409138228,9.562888761,7.034573095
HQ875 +28A,3.409138228,9.919638174,7.663692749
