,epsx_95_geom [π·mm·mrad],epsx_95_geom_std [π·mm·mrad],epsy_95_geom [π·mm·mrad],epsy_95_geom_std [π·mm·mrad]
Q874 − 45A,2.5693569185757115,4.61442441976539,1.8654216952896878,0.04294302774768898
Q874 − 36A,2.724780260889079,5.703815704251919,1.9208273622809346,0.02450140405895119
Q874 − 27A,2.729219505458404,5.672546357004052,1.938853658251935,0.045443681276189064
Q874 − 18A,2.8764627883515295,6.688789764037095,1.9634405627287528,0.06176627819790636
Q874 − 9A,2.8824328343962122,4.657859406116077,1.9857391560508684,0.07802473325002282
Q874 Baseline,2.8344357251423746,3.9815241461881703,2.0214003926766013,0.07947695082169645
Q874 + 9A,2.446752735436011,2.0833144247968676,1.9889190108032737,0.09643673490835916
Q874 + 18A,2.5732044828966996,1.2857496021167776,2.080118871085064,0.106753917879534
Q874 + 23.8A,2.4586521153179306,0.6008549987872649,2.1138485439919115,0.11761657189282804
