,MW873,MW875,MW876
HQ874 -45A,3.409138228,19.53531443,15.28996293
HQ874 -36A,3.409138228,16.30703157,11.65231018
HQ874 -35A,3.409138228,8.217375721,4.833795278
HQ874 -27A,3.409138228,13.40985663,8.567861522
HQ874 -18A,3.409138228,10.83266974,6.016856305
HQ874 -9A,3.409138228,8.56467926,3.980122336
HQ874 +9A,3.409138228,4.577091277,1.201218159
HQ874 +18A,3.409138228,3.068084325,0.6631284597
HQ874 +23.8A,3.409138228,2.316874899,0.6161749973
HQ874 +27A,3.409138228,2.032358614,0.660130099
