,MW873,MW875,MW876
HQ874 -45A,3.409138228,0.6938837317,1.96005264
HQ874 -36A,3.409138228,1.211329245,1.116588006
HQ874 -27A,3.409138228,1.974876652,0.67438645
HQ874 -18A,3.409138228,2.993928556,0.6500572928
HQ874 -9A,3.409138228,4.277796797,1.060559966
HQ874 Baseline,3.409138228,6.209486529,2.170331127
HQ874 +9A,3.409138228,8.133745577,3.621766405
HQ874 +18A,3.409138228,10.67832521,5.871260111
HQ874 +23.8A,3.409138228,12.43219518,7.57546664
HQ874 +27A,3.409138228,13.23538954,8.38876556
